ID,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
A908,Feminino,34,Pardo,Ensino Medio,SC,12,Compras,Analista Pleno
C200,Feminino,26,Pardo,Ensino Medio,PA,6,Contabilidade,Analista Junior
C53D,Masculino,35,Pardo,Ensino Medio,SC,5,Vendas,Analista Pleno
C432,Masculino,24,Pardo,Ensino Superior,TO,4,Administrativo,Gerente
A71C,Masculino,21,Pardo,Ensino Superior,CE,5,Recursos Humanos,Analista Junior
014F,Feminino,49,Pardo,Ensino Superior,SP,3,Contabilidade,Analista Pleno
D0FC,Masculino,29,Pardo,Pos graduacao,CE,9,Compras,Analista Senior
C333,Masculino,35,Pardo,Ensino Superior,RO,8,Operacoes,Analista Junior
D62E,Masculino,40,Pardo,Mestrado,AP,1,Administrativo,Analista Pleno
7971,Masculino,33,Pardo,Ensino Superior,MG,3,Desenvolvimento de Produtos,Analista Pleno
FA91,Feminino,54,Pardo,Pos graduacao,SP,5,Recursos Humanos,Analista Senior
25A9,Masculino,34,Pardo,Mestrado,AC,3,Administrativo,Analista Junior
377E,Masculino,18,Preto,Pos graduacao,SC,,Administrativo,Analista Junior
9B98,Feminino,35,Preto,Doutorado,RR,6,Contabilidade,Analista Junior
CD3D,Masculino,19,Branco,Ensino Medio,AM,,Administrativo,Analista Junior
7469,Masculino,37,Branco,Mestrado,SP,8,Desenvolvimento de Produtos,Analista Junior
FD34,Masculino,29,Branco,Pos graduacao,RR,3,Administrativo,Analista Senior
E965,Masculino,38,Pardo,Doutorado,MG,3,Administrativo,Analista Senior
BFAC,Masculino,18,Branco,Ensino Medio,CE,,Contabilidade,Gerente
FA37,Masculino,41,Pardo,Ensino Superior,PR,5,Administrativo,Analista Junior
DEFD,Masculino,46,Branco,Ensino Superior,SC,3,Recursos Humanos,Analista Pleno
9ECC,Masculino,26,Pardo,Ensino Superior,BA,8,Vendas,Analista Junior
7B98,Masculino,31,Branco,Ensino Medio,AM,0,Operacoes,Estagiario
ABC9,Masculino,29,Branco,Ensino Superior,PI,7,Marketing,Analista Junior
F0F4,Feminino,35,Preto,Ensino Superior,SP,5,Compras,Analista Junior
68BA,Masculino,32,Branco,Ensino Superior,GO,5,TI,Analista Senior
318B,Feminino,48,Preto,Ensino Superior,RJ,3,Administrativo,Gerente
6EB8,Feminino,29,Branco,Ensino Superior,PR,0,Administrativo,Gerente
E732,Feminino,32,Pardo,Ensino Superior,RN,,Marketing,Analista Junior
5783,Feminino,39,Pardo,Mestrado,PR,4,Recursos Humanos,Gerente
1F6F,Feminino,18,Branco,Mestrado,PI,,Marketing,Analista Junior
25F0,Masculino,43,Branco,Ensino Superior,PR,,Marketing,Analista Junior
A660,Masculino,44,Branco,Ensino Superior,PE,4,Operacoes,Gerente
E432,Masculino,47,Pardo,Ensino Superior,CE,2,Administrativo,Estagiario
988A,Masculino,33,Branco,Ensino Superior,CE,4,Compras,Analista Pleno
AFDF,Masculino,31,Pardo,Ensino Superior,TO,6,Desenvolvimento de Produtos,Analista Pleno
51F7,Feminino,27,Preto,Ensino Medio,MT,0,Administrativo,Analista Junior
06A5,Feminino,28,Preto,Ensino Superior,RJ,8,Marketing,Analista Senior
F7B5,Feminino,29,Branco,Mestrado,AP,1,Compras,Analista Junior
ED13,Masculino,34,Branco,Ensino Superior,PE,0,TI,Analista Senior
B5EF,Masculino,31,Preto,Ensino Superior,RJ,8,Compras,Analista Junior
F7F2,Masculino,30,Branco,Ensino Superior,RN,8,Vendas,Analista Pleno
6DA3,Masculino,22,Branco,Mestrado,PE,1,Marketing,Analista Pleno
D61D,Masculino,21,Pardo,Ensino Superior,AP,7,Contabilidade,Analista Pleno
D7B6,Masculino,39,Pardo,Pos graduacao,PR,6,Compras,Analista Pleno
FEE3,Masculino,20,Pardo,Ensino Superior,AC,4,Contabilidade,Analista Pleno
21E5,Masculino,36,Pardo,Pos graduacao,PR,8,Recursos Humanos,Analista Pleno
595C,Masculino,30,Pardo,Ensino Superior,AP,5,Compras,Analista Pleno
2AD3,Feminino,29,Branco,Ensino Medio,SC,2,Contabilidade,Analista Junior
6A97,Masculino,33,Branco,Ensino Superior,SP,5,Operacoes,Analista Junior
D79C,Masculino,49,Branco,Ensino Superior,PI,2,Operacoes,Analista Pleno
6930,Feminino,40,Branco,Pos graduacao,RS,4,Contabilidade,Analista Pleno
185F,Feminino,37,Branco,Doutorado,RJ,4,Administrativo,Analista Junior
0C8E,Masculino,21,Branco,Mestrado,RO,,TI,Estagiario
9BED,Masculino,18,Pardo,Ensino Superior,RJ,,Compras,Analista Pleno
A8E6,Masculino,24,Pardo,Ensino Superior,PR,8,Compras,Analista Senior
34F1,Masculino,37,Pardo,Ensino Superior,PR,7,Recursos Humanos,Analista Senior
6F28,Masculino,29,Branco,Pos graduacao,RS,2,Marketing,Gerente
134E,Feminino,30,Branco,Ensino Superior,MG,7,Desenvolvimento de Produtos,Analista Junior
4AED,Masculino,20,Pardo,Ensino Superior,MG,,Desenvolvimento de Produtos,Analista Senior
