,ID,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
0,A908,Feminino,34,Pardo,Ensino Medio,SC,12,Compras,Analista Pleno
1,C200,Feminino,26,Pardo,Ensino Medio,PA,6,Contabilidade,Analista Junior
2,C53D,Masculino,35,Pardo,Ensino Medio,SC,5,Vendas,Analista Pleno
3,C432,Masculino,24,Pardo,Ensino Superior,TO,4,Administrativo,Gerente
4,A71C,Masculino,21,Pardo,Ensino Superior,CE,5,Recursos Humanos,Analista Junior
5,014F,Feminino,49,Pardo,Ensino Superior,SP,3,Contabilidade,Analista Pleno
6,D0FC,Masculino,29,Pardo,Pos graduacao,CE,9,Compras,Analista Senior
7,C333,Masculino,35,Pardo,Ensino Superior,RO,8,Operacoes,Analista Junior
8,D62E,Masculino,40,Pardo,Mestrado,AP,1,Administrativo,Analista Pleno
9,7971,Masculino,33,Pardo,Ensino Superior,MG,3,Desenvolvimento de Produtos,Analista Pleno
10,FA91,Feminino,54,Pardo,Pos graduacao,SP,5,Recursos Humanos,Analista Senior
11,25A9,Masculino,34,Pardo,Mestrado,AC,3,Administrativo,Analista Junior
12,377E,Masculino,18,Preto,Pos graduacao,SC,,Administrativo,Analista Junior
13,9B98,Feminino,35,Preto,Doutorado,RR,6,Contabilidade,Analista Junior
14,CD3D,Masculino,19,Branco,Ensino Medio,AM,,Administrativo,Analista Junior
15,7469,Masculino,37,Branco,Mestrado,SP,8,Desenvolvimento de Produtos,Analista Junior
16,FD34,Masculino,29,Branco,Pos graduacao,RR,3,Administrativo,Analista Senior
17,E965,Masculino,38,Pardo,Doutorado,MG,3,Administrativo,Analista Senior
18,BFAC,Masculino,18,Branco,Ensino Medio,CE,,Contabilidade,Gerente
19,FA37,Masculino,41,Pardo,Ensino Superior,PR,5,Administrativo,Analista Junior
20,DEFD,Masculino,46,Branco,Ensino Superior,SC,3,Recursos Humanos,Analista Pleno
21,3AE5,Masculino,49,Pardo,Doutorado,AC,6,Contabilidade,Estagiario
22,9ECC,Masculino,26,Pardo,Ensino Superior,BA,8,Vendas,Analista Junior
23,7B98,Masculino,31,Branco,Ensino Medio,AM,0,Operacoes,Estagiario
24,ABC9,Masculino,29,Branco,Ensino Superior,PI,7,Marketing,Analista Junior
25,9766,Feminino,31,Pardo,Ensino Superior,SP,4,Contabilidade,Estagiario
26,F0F4,Feminino,35,Preto,Ensino Superior,SP,5,Compras,Analista Junior
27,68BA,Masculino,32,Branco,Ensino Superior,GO,5,TI,Analista Senior
28,318B,Feminino,48,Preto,Ensino Superior,RJ,3,Administrativo,Gerente
29,6EB8,Feminino,29,Branco,Ensino Superior,PR,0,Administrativo,Gerente
30,E732,Feminino,32,Pardo,Ensino Superior,RN,,Marketing,Analista Junior
31,5783,Feminino,39,Pardo,Mestrado,PR,4,Recursos Humanos,Gerente
32,1F6F,Feminino,18,Branco,Mestrado,PI,,Marketing,Analista Junior
33,25F0,Masculino,43,Branco,Ensino Superior,PR,,Marketing,Analista Junior
34,A660,Masculino,44,Branco,Ensino Superior,PE,4,Operacoes,Gerente
35,E432,Masculino,47,Pardo,Ensino Superior,CE,2,Administrativo,Estagiario
36,988A,Masculino,33,Branco,Ensino Superior,CE,4,Compras,Analista Pleno
37,AFDF,Masculino,31,Pardo,Ensino Superior,TO,6,Desenvolvimento de Produtos,Analista Pleno
38,51F7,Feminino,27,Preto,Ensino Medio,MT,0,Administrativo,Analista Junior
39,06A5,Feminino,28,Preto,Ensino Superior,RJ,8,Marketing,Analista Senior
40,F7B5,Feminino,29,Branco,Mestrado,AP,1,Compras,Analista Junior
41,ED13,Masculino,34,Branco,Ensino Superior,PE,0,TI,Analista Senior
42,B5EF,Masculino,31,Preto,Ensino Superior,RJ,8,Compras,Analista Junior
43,F7F2,Masculino,30,Branco,Ensino Superior,RN,8,Vendas,Analista Pleno
44,6DA3,Masculino,22,Branco,Mestrado,PE,1,Marketing,Analista Pleno
45,D61D,Masculino,21,Pardo,Ensino Superior,AP,7,Contabilidade,Analista Pleno
46,D7B6,Masculino,39,Pardo,Pos graduacao,PR,6,Compras,Analista Pleno
47,FEE3,Masculino,20,Pardo,Ensino Superior,AC,4,Contabilidade,Analista Pleno
48,21E5,Masculino,36,Pardo,Pos graduacao,PR,8,Recursos Humanos,Analista Pleno
49,595C,Masculino,30,Pardo,Ensino Superior,AP,5,Compras,Analista Pleno
50,2AD3,Feminino,29,Branco,Ensino Medio,SC,2,Contabilidade,Analista Junior
51,6A97,Masculino,33,Branco,Ensino Superior,SP,5,Operacoes,Analista Junior
52,D79C,Masculino,49,Branco,Ensino Superior,PI,2,Operacoes,Analista Pleno
53,6930,Feminino,40,Branco,Pos graduacao,RS,4,Contabilidade,Analista Pleno
54,185F,Feminino,37,Branco,Doutorado,RJ,4,Administrativo,Analista Junior
55,0C8E,Masculino,21,Branco,Mestrado,RO,,TI,Estagiario
56,9BED,Masculino,18,Pardo,Ensino Superior,RJ,,Compras,Analista Pleno
57,A8E6,Masculino,24,Pardo,Ensino Superior,PR,8,Compras,Analista Senior
58,34F1,Masculino,37,Pardo,Ensino Superior,PR,7,Recursos Humanos,Analista Senior
59,6F28,Masculino,29,Branco,Pos graduacao,RS,2,Marketing,Gerente
60,134E,Feminino,30,Branco,Ensino Superior,MG,7,Desenvolvimento de Produtos,Analista Junior
61,4AED,Masculino,20,Pardo,Ensino Superior,MG,,Desenvolvimento de Produtos,Analista Senior
62,00C1,Masculino,25,Pardo,Ensino Superior,PR,,Desenvolvimento de Produtos,Analista Senior
63,6654,Masculino,29,Pardo,Ensino Superior,BA,9,TI,Analista Junior
64,6DEB,Masculino,21,Pardo,Mestrado,ES,6,TI,Analista Junior
65,C50A,Masculino,27,Pardo,Pos graduacao,SP,5,Operacoes,Analista Junior
66,8DF5,Masculino,31,Pardo,Ensino Superior,RS,5,Vendas,Analista Junior
67,E045,Feminino,22,Pardo,Pos graduacao,RR,8,Marketing,Analista Pleno
68,AC13,Masculino,29,Pardo,Ensino Superior,MA,4,Vendas,Analista Junior
69,BED4,Masculino,32,Pardo,Doutorado,PB,9,Vendas,Analista Pleno
70,B811,Masculino,24,Pardo,Ensino Superior,MA,3,Recursos Humanos,Analista Junior
71,7A02,Feminino,42,Branco,Ensino Superior,GO,2,Operacoes,Gerente
72,0EE1,Masculino,41,Branco,Ensino Superior,PA,3,Vendas,Analista Junior
73,4B8F,Masculino,18,Branco,Ensino Superior,AM,1,Operacoes,Analista Senior
74,EEDE,Masculino,39,Pardo,Ensino Superior,GO,8,Compras,Analista Junior
75,D12B,Masculino,36,Pardo,Doutorado,RO,8,Recursos Humanos,Gerente
76,5DAD,Masculino,21,Preto,Ensino Medio,AC,7,Compras,Analista Junior
77,0417,Masculino,24,Pardo,Ensino Medio,RR,9,Desenvolvimento de Produtos,Analista Junior
78,5458,Masculino,42,Pardo,Ensino Superior,MG,7,TI,Analista Pleno
79,0671,Masculino,36,Pardo,Mestrado,DF,9,Vendas,Analista Pleno
80,0C7F,Masculino,18,Pardo,Ensino Superior,PI,,Recursos Humanos,Analista Junior
81,C3B8,Feminino,28,Branco,Ensino Superior,AP,5,Contabilidade,Analista Junior
82,A273,Masculino,25,Branco,Ensino Superior,SP,5,Administrativo,Analista Senior
83,0FB4,Masculino,21,Pardo,Ensino Medio,PR,3,Operacoes,Analista Pleno
84,0D93,Feminino,22,Pardo,Ensino Superior,MS,4,Marketing,Analista Junior
85,11A8,Masculino,36,Branco,Mestrado,TO,6,Desenvolvimento de Produtos,Analista Junior
86,1C81,Feminino,47,Pardo,Ensino Superior,PI,0,TI,Analista Senior
87,3105,Masculino,41,Preto,Ensino Superior,AM,8,Desenvolvimento de Produtos,Estagiario
88,5E9B,Feminino,34,Pardo,Ensino Superior,PB,6,Desenvolvimento de Produtos,Gerente
89,B7C6,Feminino,39,Pardo,Mestrado,SP,3,Administrativo,Analista Junior
90,2DF9,Feminino,31,Pardo,Ensino Superior,RS,,Compras,Gerente
91,E613,Masculino,29,Preto,Ensino Superior,CE,3,TI,Analista Senior
92,2786,Masculino,38,Branco,Ensino Medio,PI,3,Operacoes,Analista Senior
93,1041,Feminino,37,Pardo,Ensino Superior,BA,5,Contabilidade,Analista Junior
94,9DA6,Feminino,31,Branco,Mestrado,RO,2,Compras,Analista Pleno
95,077E,Masculino,32,Pardo,Doutorado,PI,4,Marketing,Gerente
96,4A2F,Masculino,27,Pardo,Doutorado,RS,5,Vendas,Estagiario
97,7A44,Masculino,20,Pardo,Doutorado,SP,,Administrativo,Analista Senior
98,E54B,Masculino,33,Branco,Ensino Superior,RJ,14,Recursos Humanos,Gerente
99,C1E8,Feminino,21,Pardo,Ensino Medio,RS,6,Vendas,Estagiario
100,338C,Feminino,32,Pardo,Ensino Superior,BA,6,Compras,Analista Senior
101,0E31,Masculino,41,Pardo,Ensino Superior,TO,6,Operacoes,Gerente
102,07F4,Feminino,18,Branco,Ensino Superior,RO,4,TI,Analista Pleno
103,F68B,Masculino,53,Branco,Ensino Superior,DF,7,TI,Analista Senior
104,08CB,Masculino,28,Branco,Ensino Superior,BA,12,TI,Gerente
105,1891,Masculino,39,Preto,Ensino Superior,RS,,Marketing,Analista Pleno
106,30E3,Masculino,34,Pardo,Pos graduacao,PA,4,Vendas,Estagiario
107,AFC2,Masculino,37,Pardo,Mestrado,RS,6,Contabilidade,Analista Junior
108,8821,Masculino,32,Pardo,Pos graduacao,AC,7,Contabilidade,Analista Senior
109,C27D,Masculino,34,Pardo,Ensino Superior,SC,7,Operacoes,Analista Junior
110,CD09,Masculino,26,Pardo,Doutorado,PE,5,Operacoes,Analista Pleno
111,E16F,Masculino,20,Branco,Ensino Superior,PB,,Marketing,Analista Pleno
112,825A,Feminino,27,Pardo,Ensino Superior,MS,6,Contabilidade,Gerente
113,0924,Masculino,32,Pardo,Ensino Superior,BA,9,TI,Gerente
114,D649,Masculino,34,Branco,Pos graduacao,PR,6,Compras,Analista Pleno
115,E3C9,Feminino,38,Pardo,Ensino Superior,MT,2,Contabilidade,Analista Junior
116,555B,Masculino,21,Pardo,Ensino Medio,PI,4,Vendas,Analista Junior
117,231D,Masculino,38,Pardo,Mestrado,AM,13,Operacoes,Analista Junior
118,8463,Feminino,35,Pardo,Mestrado,RJ,,Vendas,Analista Junior
119,97B4,Masculino,20,Branco,Ensino Superior,RS,5,Operacoes,Analista Junior
120,0498,Feminino,37,Pardo,Ensino Superior,BA,10,TI,Analista Pleno
121,B942,Masculino,19,Branco,Doutorado,MT,5,Compras,Analista Pleno
122,BDF0,Masculino,20,Branco,Ensino Superior,SC,6,Compras,Gerente
123,70DA,Masculino,33,Branco,Ensino Superior,MA,3,TI,Gerente
124,E851,Masculino,42,Branco,Ensino Superior,RO,8,Desenvolvimento de Produtos,Analista Junior
125,B78C,Masculino,24,Branco,Ensino Superior,SC,3,Marketing,Analista Pleno
126,D9C5,Feminino,36,Branco,Ensino Superior,TO,6,Compras,Estagiario
127,1934,Masculino,38,Branco,Ensino Superior,RN,12,Compras,Analista Junior
128,E851,Masculino,30,Branco,Ensino Superior,MT,2,Operacoes,Estagiario
129,6CFC,Feminino,20,Pardo,Pos graduacao,RJ,6,Contabilidade,Analista Senior
130,9C65,Feminino,19,Branco,Ensino Superior,GO,5,Administrativo,Analista Senior
131,C27D,Masculino,28,Indigena,Ensino Superior,RS,4,Administrativo,Analista Pleno
132,7E99,Masculino,36,Branco,Pos graduacao,AP,0,Marketing,Analista Junior
133,CC88,Masculino,49,Branco,Mestrado,RS,2,Operacoes,Analista Senior
134,02A9,Masculino,28,Pardo,Mestrado,RS,3,TI,Analista Junior
135,86B0,Masculino,40,Branco,Ensino Superior,GO,3,Administrativo,Analista Senior
136,2055,Masculino,22,Pardo,Ensino Superior,SC,6,Recursos Humanos,Estagiario
137,1A18,Feminino,19,Pardo,Ensino Superior,MG,,Marketing,Analista Pleno
138,8EED,Masculino,22,Pardo,Pos graduacao,MG,7,Administrativo,Analista Pleno
139,DD7F,Masculino,18,Pardo,Ensino Superior,RJ,,Desenvolvimento de Produtos,Gerente
